SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0106954,1,88,13,2,2,1,10,0,0,0,0,0,1,5,1,04402,1019518
2023GQ0107027,1,139,54,1,9,3,12,29400,189,9640,1,3,1,5,1,04316,1019518
2023GQ0107030,1,68,1,1,2,1,0,0,0,0,0,0,1,5,1,04263,1019518
2023GQ0107069,1,11,64,1,1,1,15,17600,115,0,0,6,3,5,1,04310,1019518
2023GQ0107127,1,91,40,1,2,24,21,10800,70,9920,9,3,5,1,2,04107,1019518
2023GQ0107177,1,26,65,1,2,1,19,14600,100,0,0,6,1,5,1,04103,1019518
2023GQ0107200,1,70,18,1,6,1,16,0,0,0,0,6,5,5,2,04109,1019518
2023GQ0107275,1,46,18,2,6,1,18,5000,0,4110,1,1,1,5,1,04121,1019518
2023GQ0107328,1,2,60,1,9,5,16,3400,21,6220,1,6,4,5,2,04307,1019518
2023GQ0107362,1,74,18,2,6,1,18,0,0,2545,1,6,1,5,1,04302,1019518
2023GQ0107375,1,96,69,2,2,1,16,19300,133,0,0,6,1,5,1,04221,1019518
2023GQ0107376,1,39,72,1,2,1,19,0,0,0,0,6,1,2,1,04212,1019518
2023GQ0107403,1,56,2,1,9,3,0,0,0,0,0,0,1,5,1,04412,1019518
2023GQ0107474,1,14,40,1,2,1,13,0,0,0,0,6,1,5,1,04165,1019518
2023GQ0107555,1,54,82,2,9,24,15,22400,0,0,0,6,1,2,1,04313,1019518
2023GQ0107565,1,64,73,1,9,3,14,8800,0,0,0,6,2,5,1,04212,1019518
2023GQ0107608,1,81,28,2,8,5,13,6000,38,4030,1,3,5,3,2,04205,1019518
2023GQ0107651,1,58,79,2,2,1,21,12000,0,0,0,6,1,2,1,04263,1019518
2023GQ0107678,1,11,71,1,1,1,1,19500,137,0,0,6,1,5,1,04306,1019518
2023GQ0107697,1,68,1,2,2,1,0,0,0,0,0,0,1,5,1,04401,1019518
2023GQ0107710,1,8,19,2,1,24,15,15800,0,0,0,6,1,5,1,04208,1019518
2023GQ0107758,1,35,72,1,1,1,16,14900,0,0,0,6,1,2,1,04407,1019518
2023GQ0107929,1,4,61,1,1,1,17,16200,106,6220,1,6,1,5,1,04301,1019518
2023GQ0107944,1,73,20,2,6,1,19,0,0,2545,4,3,1,5,1,04108,1019518
2023GQ0107951,1,72,18,2,1,1,16,0,0,0,0,6,1,5,1,04112,1019518
2023GQ0108012,1,34,58,1,2,1,16,0,0,0,0,6,1,2,1,04212,1019518
2023GQ0108066,1,37,61,1,1,1,22,0,0,0,0,6,1,5,1,04502,1019518
2023GQ0108084,1,52,20,2,1,24,19,0,0,0,0,6,1,5,1,04103,1019518
2023GQ0108193,1,61,77,1,6,1,16,0,0,0,0,6,4,5,2,04317,1019518
2023GQ0108197,1,53,76,2,1,1,16,4300,0,0,0,6,1,5,1,04408,1019518
2023GQ0108214,1,59,84,1,2,1,22,36000,0,0,0,6,1,1,1,04312,1019518
2023GQ0108427,1,39,38,1,8,5,19,22800,147,7340,1,1,4,1,2,04221,1019518
2023GQ0108593,1,76,49,1,8,24,17,29700,188,4020,2,1,1,5,1,04111,1019518
2023GQ0108618,1,81,38,1,2,4,17,19100,123,5510,2,6,5,3,2,04403,1019518
2023GQ0108620,1,14,35,2,8,16,21,200,1,0,0,6,5,1,2,04263,1019518
2023GQ0108710,1,62,19,2,9,1,19,2000,0,4760,1,6,1,5,1,04208,1019518
2023GQ0108774,1,10,71,1,1,1,1,19500,137,0,0,6,1,5,1,04305,1019518
2023GQ0108814,1,55,62,2,8,3,6,4300,0,0,0,6,1,2,1,04211,1019518
