SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0051888,1,,,3
2023GQ0052236,1,16,,3
2023GQ0052240,1,27,,3
2023GQ0052248,1,,,2
2023GQ0052256,1,,,2
2023GQ0052265,1,,,2
2023GQ0052466,1,,,2
2023GQ0052494,1,0,,3
2023GQ0052539,1,,,2
2023GQ0052754,1,55,,3
2023GQ0052840,1,59,,3
2023GQ0052871,1,,,3
2023GQ0052916,1,,,2
2023GQ0052976,1,,,2
2023GQ0053016,1,,,2
2023GQ0053118,1,,,2
2023GQ0053186,1,,,2
2023GQ0053244,1,,,3
2023GQ0053459,1,,,2
2023GQ0053534,1,,,3
2023GQ0053650,1,,,2
2023GQ0053670,1,119,,3
2023GQ0053862,1,0,,3
2023GQ0053868,1,339,,3
2023GQ0053871,1,0,,3
2023GQ0053875,1,,,3
2023GQ0054080,1,,,2
2023GQ0054123,1,,,3
2023GQ0054169,1,,,2
2023GQ0054263,1,,,2
2023GQ0054281,1,,,2
2023GQ0054364,1,58,,3
2023GQ0054398,1,,,2
2023GQ0054400,1,,,2
2023GQ0054642,1,,,2
2023GQ0054649,1,,,3
2023GQ0054703,1,0,,3
2023GQ0054935,1,,,3
2023GQ0055028,1,,,2
2023GQ0055083,1,,,3
2023GQ0055172,1,,,2
2023GQ0055321,1,,,3
2023GQ0055587,1,,,2
2023GQ0055621,1,84,,3
2023GQ0055811,1,,,2
2023GQ0055838,1,,,3
2023GQ0055841,1,,,2
2023GQ0055921,1,,,2
2023GQ0056078,1,,,2
2023GQ0056135,1,,,3
2023GQ0056187,1,,,3
2023GQ0056388,1,,,3
2023GQ0056649,1,,,2
2023GQ0056957,1,,,2
2023GQ0057009,1,,,2
2023GQ0057019,1,,,3
2023GQ0057055,1,,,2
2023GQ0057118,1,,,2
2023GQ0057339,1,,,2
2023GQ0057400,1,,,2
2023GQ0057452,1,54,,3
2023GQ0057655,1,,,2
2023GQ0057735,1,32,,3
2023GQ0058167,1,,,2
2023GQ0058330,1,,,2
2023GQ0058346,1,,,2
2023GQ0058605,1,,,2
2023GQ0058760,1,,,3
2023GQ0058924,1,0,,3
2023GQ0059023,1,,,3
2023GQ0059169,1,,,3
2023GQ0059507,1,0,,3
2023GQ0059547,1,32,,3
2023GQ0059587,1,55,,3
2023GQ0059705,1,,,2
2023GQ0059764,1,,,3
2023GQ0059767,1,,,2
2023GQ0059773,1,0,,3
2023GQ0059906,1,,,3
2023GQ0059938,1,,,3
2023GQ0060044,1,,,3
2023GQ0060203,1,49,,3
2023GQ0060654,1,,,3
2023GQ0060678,1,,,2
2023GQ0060709,1,,,2
2023GQ0060741,1,,,3
2023GQ0060812,1,0,,3
2023GQ0061004,1,,,2
2023GQ0061118,1,32,,3
2023GQ0061129,1,,,3
2023GQ0061365,1,,,2
2023GQ0061419,1,,,2
2023GQ0061439,1,6,,3
2023GQ0061474,1,,,2
2023GQ0061904,1,,,3
2023GQ0062188,1,,,2
2023GQ0062210,1,,,2
2023GQ0062253,1,,,2
2023GQ0062348,1,,,2
2023GQ0062563,1,,,3
2023GQ0062654,1,,,2
2023GQ0062714,1,,,3
2023GQ0062733,1,455,,3
2023GQ0062788,1,,,2
2023GQ0062814,1,,,2
2023GQ0063159,1,,,2
2023GQ0063164,1,,,3
2023GQ0063383,1,,,2
2023GQ0063585,1,,,3
2023GQ0063608,1,,,2
2023GQ0063913,1,,,3
2023GQ0063962,1,,,2
2023GQ0064114,1,,,2
2023GQ0064209,1,,,2
2023GQ0064261,1,23,,3
2023GQ0064290,1,259,,3
2023GQ0064312,1,,,3
2023GQ0064329,1,,,2
2023GQ0064397,1,,,2
2023GQ0064439,1,,,2
2023GQ0064508,1,,,2
2023GQ0064555,1,0,,3
2023GQ0064814,1,,,3
2023GQ0064817,1,,,2
2023GQ0064873,1,,,3
2023GQ0064962,1,,,2
2023GQ0065041,1,85,,3
2023GQ0065127,1,,,3
2023GQ0065272,1,,,2
2023GQ0065529,1,281,,3
2023GQ0066190,1,,,2
2023GQ0066600,1,,,2
2023GQ0066644,1,15,,3
2023GQ0066728,1,,,2
2023GQ0066767,1,6,,3
2023GQ0066854,1,,,2
2023GQ0066930,1,383,,3
2023GQ0067076,1,,,2
2023GQ0067083,1,,,3
2023GQ0067265,1,15,,3
2023GQ0067418,1,56,,3
2023GQ0067471,1,,,2
2023GQ0067486,1,,,2
2023GQ0067621,1,,,2
2023GQ0067798,1,,,2
2023GQ0067818,1,,,2
2023GQ0067886,1,,,2
2023GQ0068185,1,,,2
2023GQ0068345,1,,,2
2023GQ0068370,1,,,3
2023GQ0068414,1,,,3
2023GQ0068575,1,,,3
2023GQ0068947,1,,,2
2023GQ0068967,1,,,3
2023GQ0068981,1,,,2
2023GQ0069050,1,16,,3
2023GQ0069051,1,,,2
2023GQ0069160,1,,,3
2023GQ0069166,1,,,3
2023GQ0069518,1,,,2
2023GQ0069652,1,,,3
2023GQ0069678,1,,,3
2023GQ0069763,1,,,2
2023GQ0069795,1,0,,3
2023GQ0070178,1,,,2
2023GQ0070432,1,,,2
2023GQ0070614,1,219,,3
2023GQ0070796,1,,,2
2023GQ0070943,1,,,2
2023GQ0071035,1,,,2
2023GQ0071064,1,,,2
