SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0046291,1,,,2
2023GQ0046331,1,,,2
2023GQ0046471,1,100,,3
2023GQ0047100,1,,,2
2023GQ0047315,1,,,2
2023GQ0047377,1,,,2
2023GQ0047391,1,,,2
2023GQ0047405,1,142,,3
2023GQ0047582,1,98,,3
2023GQ0047875,1,,,2
2023GQ0048000,1,,,2
2023GQ0048198,1,,,2
2023GQ0048671,1,,,2
2023GQ0048713,1,,,2
2023GQ0048725,1,,,2
2023GQ0049254,1,,,2
2023GQ0049284,1,,,3
2023GQ0049340,1,,,2
2023GQ0049639,1,,,2
2023GQ0049708,1,,,2
2023GQ0049726,1,58,,3
2023GQ0049950,1,,,3
2023GQ0049960,1,,,3
2023GQ0050002,1,,,3
2023GQ0050116,1,56,,3
2023GQ0050866,1,197,,3
2023GQ0051145,1,,,3
2023GQ0051308,1,,,3
2023GQ0051606,1,62,,3
2023GQ0051661,1,,,3
2023GQ0051763,1,197,,3
2023GQ0052004,1,272,,3
2023GQ0052266,1,,,2
2023GQ0052334,1,,,2
2023GQ0052439,1,,,2
2023GQ0052471,1,,,2
2023GQ0052565,1,,,2
2023GQ0052569,1,129,,3
2023GQ0053079,1,0,,3
2023GQ0053099,1,,,2
2023GQ0053128,1,17,,3
2023GQ0053293,1,82,,3
2023GQ0053568,1,262,,3
2023GQ0053570,1,,,3
2023GQ0053645,1,58,,3
2023GQ0053831,1,,,3
2023GQ0054128,1,100,,3
2023GQ0054268,1,,,3
2023GQ0054295,1,0,,3
2023GQ0054653,1,0,,3
2023GQ0054916,1,,,2
2023GQ0055133,1,,,2
2023GQ0055254,1,,,3
2023GQ0055273,1,,,2
2023GQ0055723,1,,,2
2023GQ0055928,1,,,2
2023GQ0056159,1,62,,3
2023GQ0056312,1,,,2
2023GQ0056615,1,,,2
2023GQ0056641,1,100,,3
2023GQ0056870,1,,,2
2023GQ0057507,1,,,3
2023GQ0057996,1,,,2
2023GQ0058058,1,,,2
2023GQ0058220,1,,,2
2023GQ0058343,1,,,3
2023GQ0058462,1,,,2
2023GQ0058523,1,,,2
2023GQ0058557,1,,,3
2023GQ0058608,1,,,3
2023GQ0058909,1,,,2
2023GQ0058921,1,,,3
2023GQ0059414,1,,,2
2023GQ0059461,1,,,2
2023GQ0059686,1,,,2
2023GQ0059771,1,,,2
2023GQ0059778,1,,,2
2023GQ0059843,1,,,2
2023GQ0059919,1,,,3
2023GQ0060240,1,,,2
2023GQ0060467,1,162,,3
2023GQ0060491,1,,,2
2023GQ0060726,1,,,2
2023GQ0060929,1,,,2
2023GQ0060943,1,37,,3
2023GQ0061115,1,,,2
2023GQ0061134,1,,,2
2023GQ0061278,1,177,,3
2023GQ0061425,1,,,2
2023GQ0061471,1,100,,3
2023GQ0061549,1,,,2
2023GQ0061780,1,142,,3
2023GQ0061854,1,0,,3
2023GQ0061955,1,,,2
2023GQ0061974,1,,,2
2023GQ0062019,1,,,2
2023GQ0062562,1,,,2
2023GQ0062577,1,0,,3
2023GQ0062684,1,,,3
2023GQ0062740,1,,,2
2023GQ0062997,1,,,2
2023GQ0063100,1,,,2
2023GQ0063501,1,,,2
2023GQ0063518,1,99,,3
2023GQ0063596,1,89,,3
2023GQ0063634,1,,,2
2023GQ0063951,1,,,3
2023GQ0063980,1,0,,3
2023GQ0064280,1,,,2
2023GQ0064503,1,,,3
2023GQ0064562,1,,,2
2023GQ0064782,1,76,,3
2023GQ0064950,1,68,,3
2023GQ0065003,1,,,2
2023GQ0065267,1,,,3
2023GQ0065282,1,,,2
2023GQ0065404,1,,,2
2023GQ0065440,1,,,3
2023GQ0065746,1,0,,3
2023GQ0065904,1,72,,3
2023GQ0066474,1,304,,3
2023GQ0066725,1,,,2
2023GQ0066849,1,,,2
2023GQ0067212,1,,,2
2023GQ0067675,1,,,2
2023GQ0068305,1,,,3
2023GQ0068439,1,,,2
2023GQ0068449,1,,,2
2023GQ0068631,1,,,2
2023GQ0068718,1,,,2
2023GQ0069172,1,,,3
2023GQ0069213,1,,,2
2023GQ0069333,1,,,3
2023GQ0069436,1,,,2
2023GQ0069466,1,,,2
2023GQ0069566,1,,,2
2023GQ0070020,1,44,,3
2023GQ0070107,1,,,2
2023GQ0070125,1,,,2
2023GQ0070129,1,77,,3
2023GQ0070337,1,0,,3
2023GQ0070426,1,,,2
2023GQ0070638,1,259,,3
2023GQ0070759,1,,,2
2023GQ0070905,1,84,,3
2023GQ0070993,1,,,3
2023GQ0071058,1,,,2
2023GQ0071124,1,,,3
2023GQ0071142,1,,,2
2023GQ0071239,1,501,,3
2023GQ0071254,1,64,,3
2023GQ0071300,1,,,2
2023GQ0071420,1,0,,3
2023GQ0071514,1,66,,3
2023GQ0071523,1,0,,3
2023GQ0071758,1,72,,3
2023GQ0071844,1,142,,3
2023GQ0071857,1,,,2
2023GQ0072164,1,102,,3
2023GQ0072653,1,,,2
2023GQ0072947,1,,,2
2023GQ0072984,1,12,,3
2023GQ0073305,1,,,2
2023GQ0073613,1,,,2
2023GQ0073926,1,69,,3
2023GQ0074072,1,64,,3
2023GQ0074206,1,150,,3
2023GQ0074245,1,100,,3
2023GQ0074772,1,,,2
2023GQ0074818,1,,,2
2023GQ0074977,1,,,2
2023GQ0075003,1,0,,3
2023GQ0075420,1,53,,3
2023GQ0075603,1,,,2
2023GQ0075642,1,,,2
2023GQ0075692,1,,,3
2023GQ0075724,1,124,,3
2023GQ0075877,1,0,,3
2023GQ0075961,1,,,3
2023GQ0076315,1,,,2
2023GQ0076452,1,,,2
2023GQ0076558,1,,,2
2023GQ0077264,1,0,,3
2023GQ0077669,1,,,3
2023GQ0077682,1,40,,3
2023GQ0077891,1,,,2
2023GQ0078108,1,,,2
2023GQ0078656,1,,,2
2023GQ0078777,1,,,3
2023GQ0078860,1,,,2
2023GQ0079276,1,,,2
2023GQ0079599,1,,,3
2023GQ0079623,1,,,2
2023GQ0079628,1,58,,3
2023GQ0079801,1,,,2
2023GQ0079963,1,,,2
2023GQ0080347,1,,,2
2023GQ0080410,1,,,2
2023GQ0080504,1,,,3
2023GQ0081007,1,,,2
2023GQ0081277,1,8,,3
2023GQ0081549,1,,,2
2023GQ0081618,1,,,2
2023GQ0081696,1,,,2
2023GQ0081698,1,,,2
2023GQ0081718,1,0,,3
2023GQ0082624,1,,,2
2023GQ0082639,1,,,3
2023GQ0082758,1,,,2
2023GQ0082839,1,166,,3
2023GQ0082868,1,0,,3
2023GQ0082882,1,0,,3
2023GQ0083454,1,,,2
2023GQ0083816,1,,,2
2023GQ0083962,1,,,2
2023GQ0084001,1,,,3
2023GQ0084406,1,,,2
2023GQ0084454,1,,,2
2023GQ0084636,1,,,3
2023GQ0084673,1,,,2
2023GQ0084786,1,,,2
2023GQ0084856,1,,,2
2023GQ0084976,1,,,2
2023GQ0085457,1,,,2
2023GQ0086104,1,,,2
2023GQ0086537,1,,,2
2023GQ0086898,1,,,3
