SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0020195,1,,,3
2023GQ0020301,1,104,,3
2023GQ0020307,1,,,3
2023GQ0020322,1,,,2
2023GQ0020370,1,0,,3
2023GQ0020410,1,,,2
2023GQ0020431,1,,,2
2023GQ0020433,1,,,2
2023GQ0020482,1,0,,3
2023GQ0020552,1,,,2
2023GQ0020571,1,,,3
2023GQ0020606,1,34,,3
2023GQ0020639,1,,,2
2023GQ0020746,1,,,2
2023GQ0020771,1,183,,3
2023GQ0020820,1,288,,3
2023GQ0020858,1,0,,3
2023GQ0020914,1,19,,3
2023GQ0020943,1,,,2
2023GQ0020978,1,,,3
2023GQ0020990,1,0,,3
2023GQ0021018,1,,,3
2023GQ0021121,1,,,3
2023GQ0021239,1,,,3
2023GQ0021249,1,,,3
2023GQ0021360,1,,,2
2023GQ0021415,1,137,,3
2023GQ0021418,1,,,3
2023GQ0021423,1,115,,3
2023GQ0021446,1,,,2
2023GQ0021452,1,125,,3
2023GQ0021475,1,,,2
2023GQ0021515,1,,,3
2023GQ0021517,1,15,,3
2023GQ0021546,1,,,3
2023GQ0021592,1,38,,3
2023GQ0021678,1,,,3
2023GQ0021745,1,147,,3
2023GQ0021775,1,0,,3
2023GQ0021849,1,0,,3
2023GQ0021853,1,,,2
2023GQ0021863,1,71,,3
2023GQ0021931,1,159,,3
2023GQ0021995,1,,,2
2023GQ0022068,1,99,,3
2023GQ0022085,1,,,3
2023GQ0022196,1,,,3
2023GQ0022221,1,,,2
2023GQ0022274,1,13,,3
2023GQ0022332,1,0,,3
2023GQ0022389,1,,,3
2023GQ0022400,1,0,,3
2023GQ0022432,1,128,,3
2023GQ0022440,1,,,3
2023GQ0022503,1,,,2
2023GQ0022518,1,,,3
2023GQ0022589,1,110,,3
2023GQ0022593,1,0,,3
2023GQ0022646,1,,,2
2023GQ0022694,1,58,,3
2023GQ0022735,1,,,2
2023GQ0022750,1,0,,3
2023GQ0022844,1,0,,3
2023GQ0022926,1,,,3
2023GQ0022995,1,69,,3
2023GQ0023096,1,,,3
2023GQ0023099,1,,,3
2023GQ0023134,1,0,,3
2023GQ0023214,1,,,3
2023GQ0023250,1,15,,3
2023GQ0023264,1,,,3
2023GQ0023270,1,,,3
2023GQ0023288,1,,,2
2023GQ0023298,1,,,3
2023GQ0023313,1,46,,3
2023GQ0023352,1,,,3
2023GQ0023424,1,45,,3
2023GQ0023435,1,27,,3
2023GQ0023442,1,0,,3
2023GQ0023574,1,6,,3
2023GQ0023616,1,100,,3
2023GQ0023627,1,124,,3
2023GQ0023631,1,0,,3
2023GQ0023702,1,20,,3
2023GQ0023773,1,70,,3
2023GQ0023820,1,70,,3
2023GQ0023841,1,,,2
2023GQ0023853,1,222,,3
2023GQ0023858,1,,,3
2023GQ0023872,1,,,3
2023GQ0023926,1,123,,3
2023GQ0023928,1,,,3
2023GQ0023939,1,40,,3
2023GQ0024039,1,,,3
2023GQ0024115,1,,,3
2023GQ0024230,1,87,,3
2023GQ0024260,1,14,,3
2023GQ0024301,1,0,,3
2023GQ0024305,1,0,,3
2023GQ0024311,1,,,2
2023GQ0024345,1,,,3
2023GQ0024375,1,0,,3
2023GQ0024422,1,,,3
2023GQ0024429,1,,,2
2023GQ0024435,1,,,2
2023GQ0024450,1,151,,3
2023GQ0024498,1,,,2
2023GQ0024574,1,,,2
2023GQ0024624,1,,,2
2023GQ0024641,1,121,,3
2023GQ0024642,1,20,,3
2023GQ0024670,1,,,2
2023GQ0024677,1,,,2
2023GQ0024688,1,,,2
2023GQ0024694,1,,,2
2023GQ0024716,1,,,2
2023GQ0024770,1,16,,3
2023GQ0024840,1,66,,3
2023GQ0024844,1,,,3
2023GQ0024855,1,67,,3
2023GQ0024858,1,,,2
2023GQ0024881,1,,,3
2023GQ0024910,1,3,,3
2023GQ0024911,1,,,2
2023GQ0024924,1,,,3
2023GQ0024931,1,0,,3
2023GQ0024937,1,213,,3
2023GQ0024976,1,,,2
2023GQ0024993,1,69,,3
2023GQ0025000,1,,,2
2023GQ0025086,1,132,,3
2023GQ0025100,1,,,2
2023GQ0025123,1,133,,3
2023GQ0025146,1,0,,3
2023GQ0025151,1,31,,3
2023GQ0025160,1,,,2
2023GQ0025162,1,0,,3
2023GQ0025224,1,0,,3
2023GQ0025244,1,,,3
2023GQ0025301,1,,,3
2023GQ0025374,1,0,,3
2023GQ0025409,1,,,3
2023GQ0025457,1,55,,3
2023GQ0025472,1,42,,3
2023GQ0025503,1,,,2
2023GQ0025526,1,16,,3
2023GQ0025546,1,103,,3
2023GQ0025606,1,,,3
2023GQ0025619,1,136,,3
2023GQ0025692,1,,,2
2023GQ0025697,1,6,,3
2023GQ0025749,1,47,,3
2023GQ0025756,1,,,3
2023GQ0025768,1,,,3
2023GQ0025782,1,,,2
2023GQ0025785,1,95,,3
2023GQ0025790,1,0,,3
2023GQ0025798,1,,,2
2023GQ0025824,1,,,2
2023GQ0025860,1,234,,3
2023GQ0025867,1,,,3
2023GQ0025870,1,64,,3
2023GQ0025914,1,,,3
2023GQ0025924,1,34,,3
