SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023HU0000737,2,501,2,1
2023HU0001115,1,501,3,1
2023HU0001500,1,228,1,1
2023HU0001795,1,384,3,1
2023HU0001900,1,501,1,1
2023HU0001900,2,501,1,1
2023HU0001900,3,501,1,1
2023HU0001900,4,501,1,1
2023HU0002249,1,501,3,1
2023HU0002249,2,501,3,1
2023HU0002535,1,501,3,1
2023HU0003061,1,42,3,1
2023HU0003061,2,42,3,1
2023HU0003436,1,501,1,1
2023HU0003729,1,501,3,1
2023HU0003729,2,501,3,1
2023HU0004078,1,295,1,1
2023HU0004078,2,295,1,1
2023HU0004078,3,295,1,1
2023HU0004078,4,295,1,1
2023HU0004449,1,501,2,1
2023HU0004449,2,501,2,1
2023HU0004698,1,501,1,1
2023HU0004698,2,501,1,1
2023HU0004770,1,501,3,1
2023HU0005060,1,383,3,1
2023HU0005060,2,501,3,1
2023HU0005283,1,501,3,1
2023HU0005283,2,501,3,1
2023HU0005869,1,298,3,1
2023HU0005869,2,298,3,1
2023HU0005869,3,298,3,1
2023HU0006432,1,501,3,1
2023HU0007116,1,501,3,1
2023HU0007453,1,501,2,1
2023HU0007618,1,1,3,1
2023HU0007756,1,501,3,1
2023HU0007756,2,501,3,1
2023HU0007760,1,501,3,1
2023HU0007760,2,501,3,1
2023HU0008175,1,380,3,1
2023HU0008175,2,380,3,1
2023HU0008286,1,501,3,1
2023HU0008286,2,501,3,1
2023HU0008286,3,501,3,1
2023HU0008286,4,501,3,1
2023HU0008351,1,0,3,1
2023HU0008876,1,501,2,1
2023HU0009038,1,501,3,1
2023HU0009261,1,394,3,1
2023HU0009261,2,394,3,1
2023HU0009261,3,394,3,1
2023HU0009622,1,501,1,1
2023HU0010654,1,501,1,1
2023HU0010654,2,501,1,1
2023HU0010654,3,501,1,1
2023HU0010654,4,501,1,1
2023HU0010654,5,501,1,1
2023HU0010654,6,501,1,1
2023HU0011096,1,322,3,1
2023HU0011096,2,322,3,1
2023HU0011096,3,322,3,1
2023HU0011689,1,94,3,1
2023HU0011689,2,94,3,1
